Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,yj_Administrative,yj_Administrative_Duration,yj_Informational,yj_Informational_Duration,yj_ProductRelated,yj_ProductRelated_Duration,yj_BounceRates,yj_ExitRates,yj_PageValues,yj_SpecialDay,visitor_type_Other,visitor_type_Returning_Visitor,totalPage_visit,total_duration,adm_rasio,info_rasio,product_rasio
2,1,1,1,1,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.9765914735577885,-2.168082124275048,2.219446445863352,2.0112780808328035,-0.5328007247722796,-0.33762994411680447,0,1,-3.498916784533531,-3.668348929903747,1.0070049331090443,0.9445401053315556,1.0968792253123423
2,2,2,1,2,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.6206404930617382,-1.1151600130538863,-0.8029476047328334,1.610381750970617,-0.5328007247722796,-0.33762994411680447,0,1,-3.1429658040374804,-2.615426818682585,1.0070049331090443,0.9445401053315556,0.6880983276846979
2,0,1,9,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.9765914735577885,-2.168082124275048,2.219446445863352,2.0112780808328035,-0.5328007247722796,-0.33762994411680447,0,1,-3.498916784533531,-3.668348929903747,1.0070049331090443,0.9445401053315556,1.0968792253123423
2,3,2,2,4,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.6206404930617382,-1.9389363389347523,1.7726805270295567,1.8670725098066616,-0.5328007247722796,-0.33762994411680447,0,1,-3.1429658040374804,-3.439203144563451,1.0070049331090443,0.9445401053315556,1.196401266805129
2,3,0,1,4,Returning_Visitor,1,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-0.4663895023972844,0.03928159270954581,0.8270194000542044,0.7622498176525309,-0.5328007247722796,-0.33762994411680447,0,1,-1.9887148133730268,-1.460985212919153,1.0070049331090443,0.9445401053315556,-0.08422486464132416
2,2,2,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,0.07176965297372534,-0.7404787871846444,0.5822258537744047,-0.19095093922937037,-0.5328007247722796,-0.33762994411680447,0,1,-1.4505556580020171,-2.2407455928133433,1.0070049331090443,0.9445401053315556,-10.317435803343393
2,2,4,3,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.9765914735577885,-2.168082124275048,2.219446445863352,2.0112780808328035,-0.5328007247722796,2.9697561287902774,0,1,-3.498916784533531,-3.668348929903747,1.0070049331090443,0.9445401053315556,1.0968792253123423
2,1,2,1,0,Returning_Visitor,1,False,0.07440136420048865,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-2.580458793226184,-2.168082124275048,2.219446445863352,2.0112780808328035,-0.5328007247722796,-0.33762994411680447,0,1,-3.029908906487489,-3.668348929903747,-13.514108064193822,0.9445401053315556,0.8401924998633412
2,2,2,2,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.6206404930617382,-1.3120838849692897,-0.8029476047328334,1.610381750970617,-0.5328007247722796,2.972650148551081,0,1,-3.1429658040374804,-2.8123506905979885,1.0070049331090443,0.9445401053315556,0.809608232415865
2,2,4,1,2,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.3668677296683835,0.14654465531457217,-0.8029476047328334,-0.30913120681708295,-0.5328007247722796,2.9697561287902774,0,1,-2.889193040644126,-1.3537221503141266,1.0070049331090443,0.9445401053315556,-0.10721202361703677
2,1,1,3,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.3668677296683835,-0.2459414774760645,-0.8029476047328334,1.1508382447806984,-0.5328007247722796,-0.33762994411680447,0,1,-2.889193040644126,-1.7462082831047632,1.0070049331090443,0.9445401053315556,0.1799307073667856
2,1,1,4,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-0.07496982039224397,-0.22731039347626747,0.7585324069045452,-0.12927101344998135,-0.5328007247722796,2.9697561287902774,0,1,-1.5972951313679864,-1.7275771991049662,1.0070049331090443,0.9445401053315556,3.0320253174807386
2,1,1,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-0.7512307648022315,-0.4383625139611458,-0.8029476047328334,-0.0023603576207320773,-0.5328007247722796,-0.33762994411680447,0,1,-2.273556075777974,-1.9386293195898445,1.0070049331090443,0.9445401053315556,0.5835257746353729
2,2,0,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-0.8702927252689222,-0.9432331011935299,-0.8029476047328334,1.1508382447806984,-0.5328007247722796,-0.33762994411680447,0,1,-2.3926180362446647,-2.4434999068222285,1.0070049331090443,0.9445401053315556,1.0838113129143634
2,3,2,3,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.6206404930617382,-1.091739920056195,-0.8029476047328334,1.610381750970617,-0.5328007247722796,-0.33762994411680447,0,1,-3.1429658040374804,-2.592006725684894,1.0070049331090443,0.9445401053315556,0.6736471936435845
2,1,1,9,3,Returning_Visitor,0,False,0.5502810571518354,0.7713799133258628,-0.5238514774617935,-0.4947987296998535,0.2367847589204534,0.7499451920515612,0.03502531200664189,-0.6372407113107472,-0.5328007247722796,-0.33762994411680447,0,1,0.26321433861049526,1.0265263756775704,1.4017925990736422,0.9445401053315556,3.1672021268205923
2,1,1,4,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.9765914735577885,-2.168082124275048,2.219446445863352,2.0112780808328035,-0.5328007247722796,-0.33762994411680447,0,1,-3.498916784533531,-3.668348929903747,1.0070049331090443,0.9445401053315556,1.0968792253123423
2,1,1,1,4,Returning_Visitor,1,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-0.24983987819057368,-0.3404864613642077,-0.8029476047328334,-1.2027781336223882,-0.5328007247722796,-0.33762994411680447,0,1,-1.7721651891663162,-1.8407532669929063,1.0070049331090443,0.9445401053315556,1.3628187134501015
2,2,2,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.6206404930617382,-1.3599972725610807,-0.8029476047328334,1.610381750970617,-0.5328007247722796,-0.33762994411680447,0,1,-3.1429658040374804,-2.8602640781897795,1.0070049331090443,0.9445401053315556,0.8391727088046242
2,2,4,4,4,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,0.11588747958460872,1.2525841807105158,-0.8029476047328334,-1.0402574467175594,-0.5328007247722796,-0.33762994411680447,0,1,-1.4064378313911337,-0.24768262491818294,1.0070049331090443,0.9445401053315556,10.808623892764981
2,2,2,0,1,Returning_Visitor,1,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-0.6460267651187497,-0.7982843897943952,-0.8029476047328334,-1.156764791233896,-0.5328007247722796,2.972663648517406,0,1,-2.168352076094492,-2.298551195423094,1.0070049331090443,0.9445401053315556,1.2356831526131247
2,3,0,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.6206404930617382,-2.168082124275048,2.219446445863352,2.0112780808328035,-0.5328007247722796,-0.33762994411680447,0,1,-3.1429658040374804,-3.668348929903747,1.0070049331090443,0.9445401053315556,1.3377933808003741
2,3,2,1,0,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.3668677296683835,-0.913741134412621,-0.8029476047328334,0.20052683841077082,-0.5328007247722796,-0.33762994411680447,0,1,-2.889193040644126,-2.4140079400413197,1.0070049331090443,0.9445401053315556,0.668492725798936
2,2,4,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.6206404930617382,-1.5832173402399643,-0.8029476047328334,1.610381750970617,-0.5328007247722796,2.972650148551081,0,1,-3.1429658040374804,-3.0834841458686633,1.0070049331090443,0.9445401053315556,0.9769084180100465
2,2,2,4,1,Returning_Visitor,1,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.9765914735577885,-2.168082124275048,2.219446445863352,2.0112780808328035,-0.5328007247722796,-0.33762994411680447,0,1,-3.498916784533531,-3.668348929903747,1.0070049331090443,0.9445401053315556,1.0968792253123423
2,1,1,9,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.007464666445261,-0.735055252847944,-0.8029476047328334,0.45049687139799777,-0.5328007247722796,-0.33762994411680447,0,1,-2.5297899774210033,-2.2353220584766427,1.0070049331090443,0.9445401053315556,0.7296089652866076
2,2,2,1,3,Returning_Visitor,0,False,1.0280238694334463,0.8416893796836471,-0.5238514774617935,-0.4947987296998535,0.5260167985438952,0.45137909193212383,-0.4837402447974138,-1.073090968573389,-0.5328007247722796,-0.33762994411680447,0,1,1.0301891905155478,0.7982697419159175,0.8187449773393979,0.9445401053315556,0.8581077508962046
2,1,1,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.1693250410160256,-1.047887615429264,1.7726805270295567,1.610381750970617,-0.5328007247722796,-0.33762994411680447,0,1,-2.6916503519917683,-2.548154421057963,1.0070049331090443,0.9445401053315556,0.8961474172474364
2,2,0,1,3,Returning_Visitor,0,False,-0.998473833513949,-1.0054680759288452,-0.5238514774617935,-0.4947987296998535,-1.1693250410160256,-1.1211888218377497,-0.8029476047328334,0.7622498176525309,-0.5328007247722796,2.8995707285437984,0,1,-2.6916503519917683,-2.6214556274664487,1.0070049331090443,0.9445401053315556,0.958834184260306
